Date,Stock,Entry,Exit,Qty,Invested,PnL,PnL_%,Cumulative_PnL,Result,Stop_Loss,Target,RF_Conf,XGB_Conf
2025-08-01,RELIANCE.NS,1388.16,1405.89,1.0,1388.16,17.73,1.28,252.47,HOLD_CLOSE,1352.15,1460.16,0.55,0.585
2025-08-12,RELIANCE.NS,1374.91,1377.1,1.0,1374.91,2.19,0.16,254.66,HOLD_CLOSE,1338.25,1448.23,0.553,0.575
2025-08-18,RELIANCE.NS,1381.7,1420.1,1.0,1381.7,38.4,2.78,293.06,HOLD_CLOSE,1347.72,1449.66,0.565,0.727
2025-08-19,RELIANCE.NS,1420.1,1413.0,1.0,1420.1,-7.1,-0.5,285.96,HOLD_CLOSE,1384.33,1491.63,0.562,0.58
2025-08-20,RELIANCE.NS,1413.0,1424.8,1.0,1413.0,11.8,0.84,297.76,HOLD_CLOSE,1378.19,1482.62,0.555,0.818
2025-08-22,RELIANCE.NS,1409.2,1412.6,1.0,1409.2,3.4,0.24,301.16,HOLD_CLOSE,1375.5,1476.61,0.526,0.607
2025-08-26,RELIANCE.NS,1384.9,1385.9,1.0,1384.9,1.0,0.07,302.16,HOLD_CLOSE,1351.14,1452.41,0.57,0.74
2025-08-28,RELIANCE.NS,1385.9,1351.8,1.0,1385.9,-34.1,-2.46,268.06,STOP_LOSS,1351.8,1454.1,0.569,0.793
2025-09-02,RELIANCE.NS,1366.5,1372.6,1.0,1366.5,6.1,0.45,274.16,HOLD_CLOSE,1328.73,1442.04,0.563,0.629
2025-09-04,RELIANCE.NS,1359.3,1375.0,1.0,1359.3,15.7,1.16,289.86,HOLD_CLOSE,1323.33,1431.24,0.545,0.613
2025-09-09,RELIANCE.NS,1376.2,1377.0,1.0,1376.2,0.8,0.06,290.66,HOLD_CLOSE,1342.7,1443.19,0.556,0.721
2025-09-11,RELIANCE.NS,1383.3,1395.0,1.0,1383.3,11.7,0.85,302.36,HOLD_CLOSE,1351.86,1446.18,0.559,0.803
2025-09-16,RELIANCE.NS,1405.3,1413.8,1.0,1405.3,8.5,0.6,310.86,HOLD_CLOSE,1376.4,1463.09,0.54,0.658
2025-09-19,RELIANCE.NS,1407.4,1390.6,1.0,1407.4,-16.8,-1.19,294.06,HOLD_CLOSE,1380.7,1460.81,0.56,0.686
2025-09-23,RELIANCE.NS,1389.8,1383.0,1.0,1389.8,-6.8,-0.49,287.26,HOLD_CLOSE,1362.57,1444.27,0.567,0.726
2025-09-24,RELIANCE.NS,1383.0,1372.4,1.0,1383.0,-10.6,-0.77,276.66,HOLD_CLOSE,1356.04,1436.92,0.517,0.619
2025-09-25,RELIANCE.NS,1372.4,1377.6,1.0,1372.4,5.2,0.38,281.86,HOLD_CLOSE,1345.71,1425.79,0.582,0.796
2025-09-26,RELIANCE.NS,1377.6,1372.8,1.0,1377.6,-4.8,-0.35,277.06,HOLD_CLOSE,1351.02,1430.75,0.574,0.819
2025-09-29,RELIANCE.NS,1372.8,1364.0,1.0,1372.8,-8.8,-0.64,268.26,HOLD_CLOSE,1345.87,1426.66,0.571,0.815
2025-09-30,RELIANCE.NS,1364.0,1368.7,1.0,1364.0,4.7,0.34,272.96,HOLD_CLOSE,1337.46,1417.07,0.544,0.697
2025-10-01,RELIANCE.NS,1368.7,1363.4,1.0,1368.7,-5.3,-0.39,267.66,HOLD_CLOSE,1342.36,1421.39,0.567,0.752
2025-10-03,RELIANCE.NS,1363.4,1375.0,1.0,1363.4,11.6,0.85,279.26,HOLD_CLOSE,1337.36,1415.48,0.548,0.602
2025-10-06,RELIANCE.NS,1375.0,1384.8,1.0,1375.0,9.8,0.71,289.06,HOLD_CLOSE,1348.85,1427.3,0.566,0.755
2025-10-07,RELIANCE.NS,1384.8,1367.4,1.0,1384.8,-17.4,-1.26,271.66,HOLD_CLOSE,1358.28,1437.84,0.579,0.789
2025-10-08,RELIANCE.NS,1367.4,1377.8,1.0,1367.4,10.4,0.76,282.06,HOLD_CLOSE,1340.15,1421.9,0.543,0.767
2025-10-09,RELIANCE.NS,1377.8,1381.7,1.0,1377.8,3.9,0.28,285.96,HOLD_CLOSE,1351.14,1431.11,0.563,0.822
2025-10-10,RELIANCE.NS,1381.7,1375.0,1.0,1381.7,-6.7,-0.48,279.26,HOLD_CLOSE,1355.57,1433.97,0.537,0.582
2025-10-14,RELIANCE.NS,1375.9,1374.3,1.0,1375.9,-1.6,-0.12,277.66,HOLD_CLOSE,1350.07,1427.57,0.55,0.568
2025-10-15,RELIANCE.NS,1374.3,1398.3,1.0,1374.3,24.0,1.75,301.66,HOLD_CLOSE,1349.1,1424.7,0.564,0.701
2025-10-16,RELIANCE.NS,1398.3,1416.8,1.0,1398.3,18.5,1.32,320.16,HOLD_CLOSE,1372.09,1450.71,0.561,0.569
2025-10-20,RELIANCE.NS,1466.8,1465.2,1.0,1466.8,-1.6,-0.11,318.56,HOLD_CLOSE,1435.61,1529.18,0.55,0.661
2025-10-21,RELIANCE.NS,1465.2,1448.4,1.0,1465.2,-16.8,-1.15,301.76,HOLD_CLOSE,1434.74,1526.13,0.554,0.615
2025-10-23,RELIANCE.NS,1448.4,1451.6,1.0,1448.4,3.2,0.22,304.96,HOLD_CLOSE,1416.01,1513.18,0.558,0.665
2025-11-04,RELIANCE.NS,1473.1,1496.1,1.0,1473.1,23.0,1.56,327.96,HOLD_CLOSE,1441.8,1535.7,0.561,0.893
2025-11-06,RELIANCE.NS,1496.1,1478.0,1.0,1496.1,-18.1,-1.21,309.86,HOLD_CLOSE,1463.98,1560.33,0.534,0.8
2025-12-16,RELIANCE.NS,1542.3,1544.4,1.0,1542.3,2.1,0.14,311.96,HOLD_CLOSE,1510.93,1605.03,0.415,0.697
2026-01-16,RELIANCE.NS,1457.9,1420.55,1.0,1457.9,-37.35,-2.56,274.61,STOP_LOSS,1420.55,1532.59,0.515,0.712
